tile_id,category,lon,lat,epsg,x0,y0,x1,y1,smod_code,crop_frac,built_frac,open_frac,water_frac
32642_286_1134,open_land,71.34876218619897,26.238245508201498,32642,732160,2903040,734720,2905600,12,0.1135,0,0.8075,0
32643_174_942,open_land,74.4807452031475,21.817210282791162,32643,445440,2411520,448000,2414080,12,0.0437,0,0.7535,0
32644_268_995,open_land,82.8407890770153,23.042358516645013,32644,686080,2547200,688640,2549760,12,0.1468,0,0.7111,0
32642_251_1142,open_land,70.45081605676495,26.432198269088644,32642,642560,2923520,645120,2926080,12,0.0002,0.0024,0.9341,0
32643_289_1479,open_land,77.61628181597425,34.20994293172133,32643,739840,3786240,742400,3788800,12,0,0.0016,0.9984,0
32643_190_948,open_land,74.87148272386376,21.958685498480207,32643,486400,2426880,488960,2429440,12,0.0992,0,0.8686,0
32643_170_942,open_land,74.37627680395661,21.817210282791162,32643,435200,2411520,437760,2414080,12,0.0768,0,0.7503,0
32643_225_1090,urban_areas,75.77536544558002,25.23668464313616,32643,576000,2790400,578560,2792960,21,0.7249,0.1062,0.124,0.0196
32644_292_945,urban_areas,83.40250527766705,21.875458316083336,32644,747520,2419200,750080,2421760,21,0.3691,0.1724,0.2983,0.0101
32645_176_1029,urban_areas,86.53788578239084,23.819631008402173,32645,450560,2634240,453120,2636800,21,0.1797,0.2111,0.2611,0.0073
32643_226_1156,urban_areas,75.81365547167509,26.76980323875322,32643,578560,2959360,581120,2961920,21,0.5184,0.1755,0.2741,0
32643_163_1069,urban_areas,74.19454222301306,24.75806172461633,32643,417280,2736640,419840,2739200,22,0.5093,0.1135,0.1119,0.0024
32644_136_913,urban_areas,79.5414627935712,21.152152009752403,32644,348160,2337280,350720,2339840,23,0.7671,0.1253,0.0855,0.0018
32644_176_716,urban_areas,80.54019680079664,16.600201737959065,32644,450560,1832960,453120,1835520,23,0.4449,0.2103,0.0011,0.0081
32644_86_760,urban_areas,78.37918338516442,17.58764050823893,32644,220160,1945600,222720,1948160,23,0.1172,0.261,0.3768,0.01
32643_285_1297,urban_areas,77.40028450333607,30.014065725952097,32643,729600,3320320,732160,3322880,23,0.4398,0.1104,0.0246,0
32644_165_689,urban_areas,80.27752811098054,15.96762120375549,32644,422400,1763840,424960,1766400,23,0.7241,0.1263,0.0076,0.0096
32644_86_1290,urban_areas,78.11320361494857,29.84325394975395,32644,220160,3302400,222720,3304960,23,0.4791,0.1108,0.0144,0.0004
32644_249_826,urban_areas,82.3092562348598,19.138824707934173,32644,637440,2114560,640000,2117120,23,0.6075,0.1377,0.0939,0.0048
32643_318_463,urban_areas,77.88507048271879,10.71994353927424,32643,814080,1185280,816640,1187840,23,0.3688,0.2353,0.3562,0
32643_191_1315,urban_areas,74.8903613606512,30.450141853703457,32643,488960,3366400,491520,3368960,23,0.6765,0.2449,0.0184,0.0036
32644_286_1160,urban_areas,83.35787889631038,26.837369757534457,32644,732160,2969600,734720,2972160,23,0.5582,0.1683,0.1178,0.0358
32645_92_1127,urban_areas,84.3609489515925,26.078116271757402,32645,235520,2885120,238080,2887680,23,0.6782,0.1482,0.0202,0.0015
32643_262_665,urban_areas,76.59857955121352,15.401411726627783,32643,670720,1702400,673280,1704960,23,0.3617,0.2982,0.0443,0.0186
32643_176_1194,urban_areas,74.51540262052548,27.64090547161421,32643,450560,3056640,453120,3059200,23,0.7957,0.1393,0.04,0.0009
32642_307_1002,urban_areas,71.79824341883216,23.1926633244063,32642,785920,2565120,788480,2567680,23,0.4486,0.1543,0.2203,0.0128
32643_241_1254,urban_areas,76.21971410092317,29.033391391896433,32643,616960,3210240,619520,3212800,23,0.7827,0.136,0.0164,0.0256
32643_287_1198,urban_areas,77.38450154671537,27.708672820675275,32643,734720,3066880,737280,3069440,23,0.7453,0.123,0.0563,0.0071
32644_238_1070,urban_areas,82.09508274612632,24.78323481775723,32644,609280,2739200,611840,2741760,23,0.6971,0.1212,0.0874,0.0022
32644_140_512,urban_areas,79.7160410671036,11.868882995557007,32644,358400,1310720,360960,1313280,23,0.5294,0.1042,0.0221,0
32644_288_1150,urban_areas,83.40018603580019,26.600953516604516,32644,737280,2944000,739840,2946560,23,0.6669,0.1008,0.0525,0.0001
32646_230_1167,urban_areas,93.91008027973132,27.014804763259566,32646,588800,2987520,591360,2990080,23,0.4482,0.1194,0.0049,0
32643_142_1120,urban_areas,73.66017428505587,25.926491533679858,32643,363520,2867200,366080,2869760,23,0.6145,0.1461,0.0117,0
32645_203_1089,urban_areas,87.20875505318763,25.211476247849216,32645,519680,2787840,522240,2790400,23,0.6876,0.1178,0.0767,0.0376
32646_230_1063,urban_areas,93.89719965798722,24.60706376254869,32646,588800,2721280,591360,2723840,23,0.4989,0.32,0.0356,0.0389
32643_183_1128,urban_areas,74.70957680284852,26.12867439252978,32643,468480,2887680,471040,2890240,23,0.6539,0.1482,0.1495,0
32643_244_1166,urban_areas,76.28020945122279,26.989450418484562,32643,624640,2984960,627200,2987520,23,0.7193,0.1307,0.1451,0
32643_88_1207,open_land,72.22504843258854,27.929027192917474,32643,225280,3089920,227840,3092480,11,0.1186,0,0.7525,0
32644_246_1002,open_land,82.27812756912505,23.1926633244063,32644,629760,2565120,632320,2567680,11,0.0874,0,0.7469,0.026
32643_294_1144,open_land,77.54792232078172,26.465941798432365,32643,752640,2928640,755200,2931200,11,0.0712,0,0.7471,0
32643_229_1451,open_land,75.94406184151566,33.584915426751586,32643,586240,3714560,588800,3717120,11,0,0,0.7173,0.001
32643_111_1252,open_land,72.81066250085213,28.973813317983904,32643,284160,3205120,286720,3207680,11,0.0509,0,0.7085,0
32643_302_1442,open_land,77.95344171102073,33.3423115607124,32643,773120,3691520,775680,3694080,11,0,0,0.989,0.0053
32642_221_1165,open_land,69.68676171992806,26.98099945186224,32642,565760,2982400,568320,2984960,11,0,0,1,0
32643_277_1144,open_land,77.11333741385717,26.474378267053076,32643,709120,2928640,711680,2931200,11,0.1157,0.0052,0.8275,0.0083
32643_265_1484,open_land,76.94482062047521,34.331677891134404,32643,678400,3799040,680960,3801600,11,0,0,1,0
32644_158_1326,open_land,80.01213862758854,30.68986948576748,32644,404480,3394560,407040,3397120,11,0,0,0.8002,0.0287
32644_93_1495,open_land,78.17159521565455,34.56664080716732,32644,238080,3827200,240640,3829760,11,0,0,0.875,0.0018
32644_127_1405,open_land,79.15810933515445,32.50381345356027,32644,325120,3596800,327680,3599360,11,0,0,0.9571,0.0004
